2693968151981071411 [9, 1719, 3424, 5129, 6834, 8539]
-8573059505370441543 [390, 2095, 3800, 5505, 7210, 8915]
1964877626114841840 [391, 2096, 3801, 5506, 7211, 8916]
-1920580550775885995 [392, 2097, 3802, 5507, 7212, 8917]
8574291821551525046 [393, 2098, 3803, 5508, 7213, 8918]
997834996389068741 [394, 2099, 3804, 5509, 7214, 8919]
-2910959275763778295 [395, 2100, 3805, 5510, 7215, 8920]
-4280448152338954376 [396, 2101, 3806, 5511, 7216, 8921]
-2759495566673451499 [397, 2102, 3807, 5512, 7217, 8922]
-7015365639536787088 [398, 2103, 3808, 5513, 7218, 8923]
-1270957459508552834 [399, 2104, 3809, 5514, 7219, 8924]
483101861721274385 [400, 2105, 3810, 5515, 7220, 8925]
-1507246884343681944 [401, 2106, 3811, 5516, 7221, 8926]
2303481489321309463 [402, 2107, 3812, 5517, 7222, 8927]
-7157153943381680951 [403, 2108, 3813, 5518, 7223, 8928]
38912142248694453 [404, 2109, 3814, 5519, 7224, 8929]
-1871111976622215830 [405, 2110, 3815, 5520, 7225, 8930]
-8533092533020135673 [406, 2111, 3816, 5521, 7226, 8931]
4847687704239756884 [407, 2112, 3817, 5522, 7227, 8932]
6111601333126378317 [408, 2113, 3818, 5523, 7228, 8933]
6858241270223839324 [409, 2114, 3819, 5524, 7229, 8934]
351939254355630685 [410, 2115, 3820, 5525, 7230, 8935]
5003026980412546429 [411, 2116, 3821, 5526, 7231, 8936]
-7378062584985272807 [412, 2117, 3822, 5527, 7232, 8937]
8352704864407869411 [413, 2118, 3823, 5528, 7233, 8938]
5253285268688743783 [414, 2119, 3824, 5529, 7234, 8939]
-7214299507477217956 [415, 2120, 3825, 5530, 7235, 8940]
-7110623555525864598 [416, 2121, 3826, 5531, 7236, 8941]
6242202510841775476 [417, 2122, 3827, 5532, 7237, 8942]
8535775373481900772 [418, 2123, 3828, 5533, 7238, 8943]
8920414834266268194 [419, 2124, 3829, 5534, 7239, 8944]
-3200284221779337927 [420, 2125, 3830, 5535, 7240, 8945]
-7081219561894660467 [421, 2126, 3831, 5536, 7241, 8946]
-4441055183779637425 [422, 2127, 3832, 5537, 7242, 8947]
8529815355092760968 [423, 2128, 3833, 5538, 7243, 8948]
1223193228590206624 [424, 2129, 3834, 5539, 7244, 8949]
-142805350594478036 [425, 2130, 3835, 5540, 7245, 8950]
6179648232189764003 [426, 2131, 3836, 5541, 7246, 8951]
-862592156136542650 [427, 2132, 3837, 5542, 7247, 8952]
162273482122570524 [428, 2133, 3838, 5543, 7248, 8953]
3763879896868863768 [429, 2134, 3839, 5544, 7249, 8954]
7808657065059237887 [430, 2135, 3840, 5545, 7250, 8955]
-5318041391262840528 [431, 2136, 3841, 5546, 7251, 8956]
-8648651008859132994 [432, 2137, 3842, 5547, 7252, 8957]
26614958007394878 [433, 2138, 3843, 5548, 7253, 8958]
-3538968587945866493 [434, 2139, 3844, 5549, 7254, 8959]
-1432302785602125671 [435, 2140, 3845, 5550, 7255, 8960]
4823888205853896120 [436, 2141, 3846, 5551, 7256, 8961]
4987447579176222439 [437, 2142, 3847, 5552, 7257, 8962]
-5743657225488098001 [438, 2143, 3848, 5553, 7258, 8963]
3388694017585971859 [439, 2144, 3849, 5554, 7259, 8964]
5004036245059507118 [440, 2145, 3850, 5555, 7260, 8965]
-5399480963829847142 [441, 2146, 3851, 5556, 7261, 8966]
-7480376724426920197 [442, 2147, 3852, 5557, 7262, 8967]
7709267313204621243 [443, 2148, 3853, 5558, 7263, 8968]
5640812093212893969 [444, 2149, 3854, 5559, 7264, 8969]
-8904801206443514452 [445, 2150, 3855, 5560, 7265, 8970]
-2617055397551644938 [446, 2151, 3856, 5561, 7266, 8971]
-2894942728698360788 [447, 2152, 3857, 5562, 7267, 8972]
-3093826968473260215 [448, 2153, 3858, 5563, 7268, 8973]
-3645024966150583712 [449, 2154, 3859, 5564, 7269, 8974]
-6071099423970694532 [450, 2155, 3860, 5565, 7270, 8975]
1717113318102044155 [451, 2156, 3861, 5566, 7271, 8976]
-2910353952996265619 [452, 2157, 3862, 5567, 7272, 8977]
-6942137392925377006 [453, 2158, 3863, 5568, 7273, 8978]
4312781019331650978 [454, 2159, 3864, 5569, 7274, 8979]
5383283758182157380 [455, 2160, 3865, 5570, 7275, 8980]
-6053823974473055390 [456, 2161, 3866, 5571, 7276, 8981]
2227657837631505262 [457, 2162, 3867, 5572, 7277, 8982]
-8943576089813960691 [458, 2163, 3868, 5573, 7278, 8983]
9140808585309161739 [459, 2164, 3869, 5574, 7279, 8984]
1340910992075953826 [460, 2165, 3870, 5575, 7280, 8985]
-2230405636155829238 [461, 2166, 3871, 5576, 7281, 8986]
4912786654411578847 [462, 2167, 3872, 5577, 7282, 8987]
1353124213904874344 [463, 2168, 3873, 5578, 7283, 8988]
2294185174876115175 [464, 2169, 3874, 5579, 7284, 8989]
-7005245126093084494 [465, 2170, 3875, 5580, 7285, 8990]
-7981725889840310368 [466, 2171, 3876, 5581, 7286, 8991]
-3077197574024273768 [467, 2172, 3877, 5582, 7287, 8992]
217173462378600140 [468, 2173, 3878, 5583, 7288, 8993]
-5857408901047255774 [469, 2174, 3879, 5584, 7289, 8994]
5020554485866437790 [470, 2175, 3880, 5585, 7290, 8995]
-9138748136348642176 [471, 2176, 3881, 5586, 7291, 8996]
-3473292156725105748 [472, 2177, 3882, 5587, 7292, 8997]
6719304506046591717 [473, 2178, 3883, 5588, 7293, 8998]
-3197603141629378210 [474, 2179, 3884, 5589, 7294, 8999]
1927523190248128917 [475, 2180, 3885, 5590, 7295, 9000]
-4180276606351960432 [476, 2181, 3886, 5591, 7296, 9001]
2319612010860118022 [477, 2182, 3887, 5592, 7297, 9002]
-2230220399198140753 [478, 2183, 3888, 5593, 7298, 9003]
5411440757734174442 [479, 2184, 3889, 5594, 7299, 9004]
5828183571839516670 [480, 2185, 3890, 5595, 7300, 9005]
-1684589738197828735 [481, 2186, 3891, 5596, 7301, 9006]
3651457055840595505 [482, 2187, 3892, 5597, 7302, 9007]
-8709705143207506419 [483, 2188, 3893, 5598, 7303, 9008]
455096527369245305 [484, 2189, 3894, 5599, 7304, 9009]
2860952548017910022 [485, 2190, 3895, 5600, 7305, 9010]
-1544076971846550578 [486, 2191, 3896, 5601, 7306, 9011]
-755330691772517259 [487, 2192, 3897, 5602, 7307, 9012]
962750530656277581 [488, 2193, 3898, 5603, 7308, 9013]
-8857763333595376492 [489, 2194, 3899, 5604, 7309, 9014]
-6996095140792982725 [490, 2195, 3900, 5605, 7310, 9015]
-7850828539446817687 [491, 2196, 3901, 5606, 7311, 9016]
2928542661520192396 [492, 2197, 3902, 5607, 7312, 9017]
-5514205356825067112 [493, 2198, 3903, 5608, 7313, 9018]
6124112401232497588 [494, 2199, 3904, 5609, 7314, 9019]
-1384359654306793288 [495, 2200, 3905, 5610, 7315, 9020]
-1863076287631996999 [496, 2201, 3906, 5611, 7316, 9021]
7480111313121344466 [497, 2202, 3907, 5612, 7317, 9022]
-1589802510888531162 [498, 2203, 3908, 5613, 7318, 9023]
6346060079704222620 [499, 2204, 3909, 5614, 7319, 9024]
6180221093156426005 [500, 2205, 3910, 5615, 7320, 9025]
1823257833676776130 [501, 2206, 3911, 5616, 7321, 9026]
-717998275280981878 [502, 2207, 3912, 5617, 7322, 9027]
-3445574912290136212 [503, 2208, 3913, 5618, 7323, 9028]
-577758931095485758 [504, 2209, 3914, 5619, 7324, 9029]
6949437766493093995 [505, 2210, 3915, 5620, 7325, 9030]
6470545335903121589 [506, 2211, 3916, 5621, 7326, 9031]
-596856902360639538 [507, 2212, 3917, 5622, 7327, 9032]
8218934862439747013 [508, 2213, 3918, 5623, 7328, 9033]
3099393605635520676 [509, 2214, 3919, 5624, 7329, 9034]
6310434482877488633 [510, 2215, 3920, 5625, 7330, 9035]
-2456259973076679097 [511, 2216, 3921, 5626, 7331, 9036]
6855522734298502782 [512, 2217, 3922, 5627, 7332, 9037]
-7998358409236003944 [513, 2218, 3923, 5628, 7333, 9038]
-2269653581610494697 [514, 2219, 3924, 5629, 7334, 9039]
-5701268817734758418 [515, 2220, 3925, 5630, 7335, 9040]
-2859328363001054017 [516, 2221, 3926, 5631, 7336, 9041]
-2760248639156074119 [517, 2222, 3927, 5632, 7337, 9042]
29038400177036285 [518, 2223, 3928, 5633, 7338, 9043]
4958247920273656408 [519, 2224, 3929, 5634, 7339, 9044]
-194091030013621433 [520, 2225, 3930, 5635, 7340, 9045]
8231239235218520706 [521, 2226, 3931, 5636, 7341, 9046]
6910406767008241909 [522, 2227, 3932, 5637, 7342, 9047]
3692025689656178848 [523, 2228, 3933, 5638, 7343, 9048]
-5053228904566335547 [524, 2229, 3934, 5639, 7344, 9049]
2018218866104468005 [525, 2230, 3935, 5640, 7345, 9050]
-290782620307816140 [526, 2231, 3936, 5641, 7346, 9051]
-1967675851338553060 [527, 2232, 3937, 5642, 7347, 9052]
-6134044858739960636 [528, 2233, 3938, 5643, 7348, 9053]
-7911509462167725248 [529, 2234, 3939, 5644, 7349, 9054]
7264753558630483738 [530, 2235, 3940, 5645, 7350, 9055]
-1613380949139363577 [531, 2236, 3941, 5646, 7351, 9056]
-4885219563604766927 [532, 2237, 3942, 5647, 7352, 9057]
6404250357006201430 [533, 2238, 3943, 5648, 7353, 9058]
-6232898178884336094 [534, 2239, 3944, 5649, 7354, 9059]
-8990136847640908711 [535, 2240, 3945, 5650, 7355, 9060]
-7468936729539108969 [536, 2241, 3946, 5651, 7356, 9061]
-2040716943298382005 [537, 2242, 3947, 5652, 7357, 9062]
2245993404387928520 [538, 2243, 3948, 5653, 7358, 9063]
-5137818654470234869 [539, 2244, 3949, 5654, 7359, 9064]
2433685060235081974 [540, 2245, 3950, 5655, 7360, 9065]
4652228333234306111 [541, 2246, 3951, 5656, 7361, 9066]
1142146344200309242 [542, 2247, 3952, 5657, 7362, 9067]
-3379098772466111729 [543, 2248, 3953, 5658, 7363, 9068]
-4676410844943554134 [544, 2249, 3954, 5659, 7364, 9069]
4380222751209483666 [545, 2250, 3955, 5660, 7365, 9070]
7901464348693734462 [546, 2251, 3956, 5661, 7366, 9071]
-5856907821886571199 [547, 2252, 3957, 5662, 7367, 9072]
-199040762695245734 [548, 2253, 3958, 5663, 7368, 9073]
-2361373526401912852 [549, 2254, 3959, 5664, 7369, 9074]
-5009084016423329835 [550, 2255, 3960, 5665, 7370, 9075]
6998355705533831090 [551, 2256, 3961, 5666, 7371, 9076]
7800633946169321363 [552, 2257, 3962, 5667, 7372, 9077]
-4064284666937486304 [553, 2258, 3963, 5668, 7373, 9078]
3047184107520807761 [554, 2259, 3964, 5669, 7374, 9079]
-4649064366744115110 [555, 2260, 3965, 5670, 7375, 9080]
-8321228534799050342 [556, 2261, 3966, 5671, 7376, 9081]
-4871062923998524463 [557, 2262, 3967, 5672, 7377, 9082]
-3201532330394571565 [558, 2263, 3968, 5673, 7378, 9083]
3767880314857620633 [559, 2264, 3969, 5674, 7379, 9084]
-6300762857916764821 [560, 2265, 3970, 5675, 7380, 9085]
7673577373251645892 [561, 2266, 3971, 5676, 7381, 9086]
-7513825959626666718 [562, 2267, 3972, 5677, 7382, 9087]
7490656252241579167 [563, 2268, 3973, 5678, 7383, 9088]
-5127675224258442991 [564, 2269, 3974, 5679, 7384, 9089]
5792472479288224934 [565, 2270, 3975, 5680, 7385, 9090]
9126835011240948468 [566, 2271, 3976, 5681, 7386, 9091]
5947497655253307144 [567, 2272, 3977, 5682, 7387, 9092]
-3782211247336291554 [568, 2273, 3978, 5683, 7388, 9093]
-4327482425355826594 [569, 2274, 3979, 5684, 7389, 9094]
4374778533126180087 [570, 2275, 3980, 5685, 7390, 9095]
2934617825432774613 [571, 2276, 3981, 5686, 7391, 9096]
410575157981815951 [572, 2277, 3982, 5687, 7392, 9097]
7000775760128749942 [573, 2278, 3983, 5688, 7393, 9098]
4192694762664457368 [574, 2279, 3984, 5689, 7394, 9099]
-8462317917433643591 [575, 2280, 3985, 5690, 7395, 9100]
-4915556900370243572 [576, 2281, 3986, 5691, 7396, 9101]
-5307678025974047961 [577, 2282, 3987, 5692, 7397, 9102]
2829320118883978233 [578, 2283, 3988, 5693, 7398, 9103]
-5925014580448126582 [579, 2284, 3989, 5694, 7399, 9104]
-8799694681809423925 [580, 2285, 3990, 5695, 7400, 9105]
-311923531937654723 [581, 2286, 3991, 5696, 7401, 9106]
-532893111163254429 [582, 2287, 3992, 5697, 7402, 9107]
-2702451589659285487 [583, 2288, 3993, 5698, 7403, 9108]
-128111007437874633 [584, 2289, 3994, 5699, 7404, 9109]
-11963894881967685 [585, 2290, 3995, 5700, 7405, 9110]
-9185758398483145589 [586, 2291, 3996, 5701, 7406, 9111]
-8901851536103951876 [587, 2292, 3997, 5702, 7407, 9112]
-1093057006402572051 [588, 2293, 3998, 5703, 7408, 9113]
-5428237604559241571 [589, 2294, 3999, 5704, 7409, 9114]
2284188688488513477 [590, 2295, 4000, 5705, 7410, 9115]
-4893611415812516908 [591, 2296, 4001, 5706, 7411, 9116]
-6774956232435696514 [592, 2297, 4002, 5707, 7412, 9117]
-5923789271849943089 [593, 2298, 4003, 5708, 7413, 9118]
-2352750502676172401 [594, 2299, 4004, 5709, 7414, 9119]
-3030518122741146983 [595, 2300, 4005, 5710, 7415, 9120]
-7656915381884460590 [596, 2301, 4006, 5711, 7416, 9121]
2635512622496620734 [597, 2302, 4007, 5712, 7417, 9122]
6398949911620607870 [598, 2303, 4008, 5713, 7418, 9123]
-1604619478693969671 [599, 2304, 4009, 5714, 7419, 9124]
-3601152175275555428 [600, 2305, 4010, 5715, 7420, 9125]
4704918942587778561 [601, 2306, 4011, 5716, 7421, 9126]
3946282544035102523 [602, 2307, 4012, 5717, 7422, 9127]
-2695845275648213341 [603, 2308, 4013, 5718, 7423, 9128]
-625741825778123947 [604, 2309, 4014, 5719, 7424, 9129]
4211452123650532908 [605, 2310, 4015, 5720, 7425, 9130]
4694340467484948783 [606, 2311, 4016, 5721, 7426, 9131]
968521577162540524 [607, 2312, 4017, 5722, 7427, 9132]
4665493793525693964 [608, 2313, 4018, 5723, 7428, 9133]
4493622643085663226 [609, 2314, 4019, 5724, 7429, 9134]
-1248105802209824490 [610, 2315, 4020, 5725, 7430, 9135]
-1850261861145874216 [611, 2316, 4021, 5726, 7431, 9136]
-5775895145923483685 [612, 2317, 4022, 5727, 7432, 9137]
-7578598922645091482 [613, 2318, 4023, 5728, 7433, 9138]
3163798511250351925 [614, 2319, 4024, 5729, 7434, 9139]
-1008677707221566604 [615, 2320, 4025, 5730, 7435, 9140]
-6254520652131896274 [616, 2321, 4026, 5731, 7436, 9141]
-6416247363406155694 [617, 2322, 4027, 5732, 7437, 9142]
3175196491489152176 [618, 2323, 4028, 5733, 7438, 9143]
-213053139011897600 [619, 2324, 4029, 5734, 7439, 9144]
-7068596065206352356 [620, 2325, 4030, 5735, 7440, 9145]
5456651892622027574 [621, 2326, 4031, 5736, 7441, 9146]
5754974984569392785 [622, 2327, 4032, 5737, 7442, 9147]
-4321192110379830350 [623, 2328, 4033, 5738, 7443, 9148]
-8416223831491062395 [624, 2329, 4034, 5739, 7444, 9149]
1216733254824333601 [625, 2330, 4035, 5740, 7445, 9150]
6258957970796342079 [626, 2331, 4036, 5741, 7446, 9151]
6084937459619843317 [627, 2332, 4037, 5742, 7447, 9152]
3788283824933567604 [628, 2333, 4038, 5743, 7448, 9153]
-4578673590644998573 [629, 2334, 4039, 5744, 7449, 9154]
-4285155159671494921 [630, 2335, 4040, 5745, 7450, 9155]
1320455949803755173 [631, 2336, 4041, 5746, 7451, 9156]
-7019765290530117849 [632, 2337, 4042, 5747, 7452, 9157]
1050758220972560503 [633, 2338, 4043, 5748, 7453, 9158]
3094988993163467822 [634, 2339, 4044, 5749, 7454, 9159]
-5827223198183661639 [635, 2340, 4045, 5750, 7455, 9160]
-750695514678142257 [636, 2341, 4046, 5751, 7456, 9161]
7797474801840687910 [637, 2342, 4047, 5752, 7457, 9162]
1127462475594895998 [638, 2343, 4048, 5753, 7458, 9163]
-3779226028112805464 [639, 2344, 4049, 5754, 7459, 9164]
8680767329905532506 [640, 2345, 4050, 5755, 7460, 9165]
-6741507484967947523 [641, 2346, 4051, 5756, 7461, 9166]
-1368713727709277555 [642, 2347, 4052, 5757, 7462, 9167]
748848317808862595 [643, 2348, 4053, 5758, 7463, 9168]
5928971217084557528 [644, 2349, 4054, 5759, 7464, 9169]
-7457652260345284685 [645, 2350, 4055, 5760, 7465, 9170]
4685125301853640632 [646, 2351, 4056, 5761, 7466, 9171]
8695592382118374595 [647, 2352, 4057, 5762, 7467, 9172]
1770321392064802167 [648, 2353, 4058, 5763, 7468, 9173]
8163400346713106031 [649, 2354, 4059, 5764, 7469, 9174]
-8947006815707281274 [650, 2355, 4060, 5765, 7470, 9175]
-8311856363014807245 [651, 2356, 4061, 5766, 7471, 9176]
-6277908034542261555 [652, 2357, 4062, 5767, 7472, 9177]
-644871056663389858 [653, 2358, 4063, 5768, 7473, 9178]
-8446635542001000673 [654, 2359, 4064, 5769, 7474, 9179]
238042369934425002 [655, 2360, 4065, 5770, 7475, 9180]
2723345017959596307 [656, 2361, 4066, 5771, 7476, 9181]
4915534595056431302 [657, 2362, 4067, 5772, 7477, 9182]
-72542096374586930 [658, 2363, 4068, 5773, 7478, 9183]
6982612420987316250 [659, 2364, 4069, 5774, 7479, 9184]
-6427056812832481907 [660, 2365, 4070, 5775, 7480, 9185]
1969330219224303500 [661, 2366, 4071, 5776, 7481, 9186]
5529580167712863598 [662, 2367, 4072, 5777, 7482, 9187]
-3145836741641654711 [663, 2368, 4073, 5778, 7483, 9188]
-1976126368537123908 [664, 2369, 4074, 5779, 7484, 9189]
4066069623761120907 [665, 2370, 4075, 5780, 7485, 9190]
3365951488403927330 [666, 2371, 4076, 5781, 7486, 9191]
7349433464839762146 [667, 2372, 4077, 5782, 7487, 9192]
-5600818689409944843 [668, 2373, 4078, 5783, 7488, 9193]
7002173647663650916 [669, 2374, 4079, 5784, 7489, 9194]
-1691913231296086305 [670, 2375, 4080, 5785, 7490, 9195]
515978048565249154 [671, 2376, 4081, 5786, 7491, 9196]
1575188319378595342 [672, 2377, 4082, 5787, 7492, 9197]
-5182881738836698086 [673, 2378, 4083, 5788, 7493, 9198]
-1354392467969046671 [674, 2379, 4084, 5789, 7494, 9199]
-796407348964389580 [675, 2380, 4085, 5790, 7495, 9200]
-4452980644625110485 [676, 2381, 4086, 5791, 7496, 9201]
-3731371052214162500 [677, 2382, 4087, 5792, 7497, 9202]
-6395361122459054763 [678, 2383, 4088, 5793, 7498, 9203]
943059967075542377 [679, 2384, 4089, 5794, 7499, 9204]
387898930988153 [680, 2385, 4090, 5795, 7500, 9205]
-4658909646778259774 [681, 2386, 4091, 5796, 7501, 9206]
-6215657486316620997 [682, 2387, 4092, 5797, 7502, 9207]
-1350738797774079985 [683, 2388, 4093, 5798, 7503, 9208]
1258836740930814050 [684, 2389, 4094, 5799, 7504, 9209]
3690936042278224510 [685, 2390, 4095, 5800, 7505, 9210]
561863743226511593 [686, 2391, 4096, 5801, 7506, 9211]
-5735554086198762684 [687, 2392, 4097, 5802, 7507, 9212]
-4359211557697850681 [688, 2393, 4098, 5803, 7508, 9213]
-4104208679676687178 [689, 2394, 4099, 5804, 7509, 9214]
-2593829914466407039 [690, 2395, 4100, 5805, 7510, 9215]
8360361464501841092 [691, 2396, 4101, 5806, 7511, 9216]
5344581582599808961 [692, 2397, 4102, 5807, 7512, 9217]
-2365782525101018926 [693, 2398, 4103, 5808, 7513, 9218]
-6873327569579411471 [694, 2399, 4104, 5809, 7514, 9219]
3445821448578570482 [695, 2400, 4105, 5810, 7515, 9220]
-747986576958938179 [696, 2401, 4106, 5811, 7516, 9221]
-9037294641882887373 [697, 2402, 4107, 5812, 7517, 9222]
7543448453534108533 [698, 2403, 4108, 5813, 7518, 9223]
4239012060571267621 [699, 2404, 4109, 5814, 7519, 9224]
-2999617283728467472 [700, 2405, 4110, 5815, 7520, 9225]
7687840819672265178 [701, 2406, 4111, 5816, 7521, 9226]
-1349213790958043514 [702, 2407, 4112, 5817, 7522, 9227]
5597865400703893724 [703, 2408, 4113, 5818, 7523, 9228]
7229968861018571438 [704, 2409, 4114, 5819, 7524, 9229]
5713380241764765442 [705, 2410, 4115, 5820, 7525, 9230]
-3132767771757089835 [706, 2411, 4116, 5821, 7526, 9231]
-411337047076547018 [707, 2412, 4117, 5822, 7527, 9232]
-5965276546318140304 [708, 2413, 4118, 5823, 7528, 9233]
5123115012002117221 [709, 2414, 4119, 5824, 7529, 9234]
6317300911048911068 [710, 2415, 4120, 5825, 7530, 9235]
-1426638735162065454 [711, 2416, 4121, 5826, 7531, 9236]
7291029742642796387 [712, 2417, 4122, 5827, 7532, 9237]
2739391595731164876 [713, 2418, 4123, 5828, 7533, 9238]
-3900542209303351897 [714, 2419, 4124, 5829, 7534, 9239]
-4011034935605217373 [715, 2420, 4125, 5830, 7535, 9240]
-541517652966533625 [716, 2421, 4126, 5831, 7536, 9241]
-3590281229264666274 [717, 2422, 4127, 5832, 7537, 9242]
-2437497254812007799 [718, 2423, 4128, 5833, 7538, 9243]
-7413182369245304474 [719, 2424, 4129, 5834, 7539, 9244]
8958865216937141508 [720, 2425, 4130, 5835, 7540, 9245]
-6769087295704214480 [721, 2426, 4131, 5836, 7541, 9246]
